product_name,purchase_date,review,rating,units_sold,region,product_category,net_profit
Wireless Mouse,2021-02-01,Decent for the price.,2,22,South,Accessories,245.23
Coffee Maker,2022-05-20,Nothing special but acceptable.,5,160,South,Kitchen,6615.96
Gaming Chair,2022-03-05,Excellent product!,5,255,East,Furniture,12604.61
Robot Vacuum,2021-01-27,"Great quality, very satisfied!",3,250,North,Home Goods,7591.62
Air Purifier,2020-07-25,Not worth the price.,4,282,North,Home Goods,18333.88
Electric Kettle,2022-11-04,Decent for the price.,2,99,North,Kitchen,2579.38
Electric Kettle,2024-04-26,"Loved it, will buy again.",2,83,North,Kitchen,2516.34
Blender,2022-06-10,Stopped working too soon.,5,82,East,Kitchen,2055.92
Electric Kettle,2024-01-24,"Average product, does the job.",2,60,South,Kitchen,1417.59
Blender,2024-09-10,Nothing special but acceptable.,5,111,West,Kitchen,4155.66
Gaming Chair,2024-05-17,Stopped working too soon.,3,113,West,Furniture,5100.39
Gaming Chair,2022-05-13,Stopped working too soon.,5,177,West,Furniture,14213.98
Wireless Mouse,2022-01-12,Amazing performance and value.,3,17,North,Accessories,251.19
Electric Kettle,2023-06-18,Works fine.,4,290,East,Kitchen,6219.1
Blender,2021-07-17,Bad experience overall.,3,51,North,Kitchen,1364.69
Gaming Chair,2022-10-17,Works fine.,1,18,South,Furniture,1245.61
Robot Vacuum,2020-04-05,It's okay.,2,137,West,Home Goods,6198.6
Wireless Mouse,2024-10-23,"Average product, does the job.",5,90,South,Accessories,1060.33
Smartwatch,2021-04-29,"Loved it, will buy again.",5,194,East,Wearables,9951.0
Wireless Mouse,2023-12-01,Bad experience overall.,5,227,North,Accessories,5978.6
Electric Kettle,2020-08-18,"Average product, does the job.",3,150,West,Kitchen,5703.16
4K Action Camera,2022-01-18,Not worth the price.,1,274,West,Electronics,15277.64
Wireless Mouse,2024-08-05,Highly recommend this!,4,83,South,Accessories,2020.08
Blender,2023-04-09,Decent for the price.,4,129,East,Kitchen,2655.76
Gaming Chair,2021-06-24,Works fine.,4,181,North,Furniture,15306.33
Gaming Chair,2022-11-25,Quality could be better.,4,161,East,Furniture,15575.81
Electric Kettle,2021-06-08,Amazing performance and value.,5,106,South,Kitchen,4262.16
Electric Kettle,2023-03-29,Bad experience overall.,4,144,West,Kitchen,5323.44
4K Action Camera,2024-09-18,"Great quality, very satisfied!",4,13,West,Electronics,1368.58
Electric Kettle,2023-06-20,Not worth the price.,2,199,West,Kitchen,5101.79
Blender,2023-01-14,Highly recommend this!,1,58,West,Kitchen,1682.55
Electric Kettle,2024-12-24,Bad experience overall.,4,210,North,Kitchen,7884.46
Smartwatch,2021-07-31,Highly recommend this!,1,194,South,Wearables,7242.16
Robot Vacuum,2021-11-12,Stopped working too soon.,3,276,North,Home Goods,10560.92
Blender,2021-07-10,Quality could be better.,2,299,South,Kitchen,13850.53
4K Action Camera,2024-05-16,Amazing performance and value.,1,299,South,Electronics,35799.16
Robot Vacuum,2022-10-09,Very disappointing.,4,212,West,Home Goods,14170.08
Gaming Chair,2021-10-07,Decent for the price.,5,203,East,Furniture,14660.56
Wireless Mouse,2022-03-06,Stopped working too soon.,2,281,North,Accessories,7313.78
Air Purifier,2022-11-17,Amazing performance and value.,4,189,West,Home Goods,8159.75
Blender,2024-07-01,Nothing special but acceptable.,3,94,South,Kitchen,4283.43
Electric Kettle,2024-04-28,"Great quality, very satisfied!",2,219,East,Kitchen,6598.77
4K Action Camera,2023-09-25,Excellent product!,3,25,West,Electronics,2631.04
Blender,2024-12-26,Bad experience overall.,1,59,East,Kitchen,1947.23
Blender,2023-09-16,Bad experience overall.,2,106,West,Kitchen,4619.88
Coffee Maker,2024-07-21,Bad experience overall.,4,187,West,Kitchen,3881.39
Air Purifier,2024-03-09,Amazing performance and value.,1,193,South,Home Goods,11143.27
Gaming Chair,2023-10-03,"Loved it, will buy again.",4,42,West,Furniture,2947.77
Gaming Chair,2024-02-05,Very disappointing.,4,288,North,Furniture,20451.77
Air Purifier,2023-06-08,Not worth the price.,4,72,West,Home Goods,2964.62
4K Action Camera,2020-07-08,Very disappointing.,3,54,South,Electronics,4313.83
Electric Kettle,2023-06-02,Not worth the price.,5,200,North,Kitchen,8667.63
Air Purifier,2023-11-09,Excellent product!,4,199,East,Home Goods,9445.09
Laptop Stand,2023-11-01,Not worth the price.,4,260,South,Accessories,6266.65
Gaming Chair,2023-07-30,Amazing performance and value.,3,299,South,Furniture,21533.28
Blender,2021-09-24,Amazing performance and value.,1,228,East,Kitchen,5599.85
Coffee Maker,2021-09-19,Excellent product!,4,207,North,Kitchen,10139.55
4K Action Camera,2022-08-30,Very disappointing.,1,38,East,Electronics,3562.34
4K Action Camera,2024-11-03,Decent for the price.,3,256,West,Electronics,24001.97
Robot Vacuum,2023-07-06,"Great quality, very satisfied!",3,274,North,Home Goods,8890.96
Electric Kettle,2023-10-14,"Average product, does the job.",2,136,East,Kitchen,5846.07
Coffee Maker,2021-12-10,Bad experience overall.,2,214,South,Kitchen,6637.11
4K Action Camera,2024-01-19,Bad experience overall.,5,205,West,Electronics,15715.71
Electric Kettle,2023-12-05,Excellent product!,2,134,West,Kitchen,5413.99
Electric Kettle,2021-10-10,Nothing special but acceptable.,2,180,South,Kitchen,8400.84
Wireless Mouse,2020-11-13,It's okay.,1,98,East,Accessories,1767.5
Robot Vacuum,2024-08-27,"Loved it, will buy again.",2,299,South,Home Goods,15337.86
Robot Vacuum,2023-06-02,Amazing performance and value.,5,223,West,Home Goods,14087.35
Gaming Chair,2023-06-11,"Loved it, will buy again.",2,26,East,Furniture,2479.53
Robot Vacuum,2021-11-14,Highly recommend this!,5,106,South,Home Goods,6181.53
Gaming Chair,2021-10-25,"Loved it, will buy again.",5,170,North,Furniture,7699.79
4K Action Camera,2023-10-29,It's okay.,4,11,South,Electronics,685.71
Blender,2024-08-22,Highly recommend this!,5,77,West,Kitchen,3549.0
Air Purifier,2024-06-19,Quality could be better.,1,217,West,Home Goods,11093.11
Electric Kettle,2024-02-04,Stopped working too soon.,4,74,North,Kitchen,2146.77
4K Action Camera,2023-06-10,Works fine.,3,162,West,Electronics,9958.21
4K Action Camera,2024-09-11,Decent for the price.,1,256,West,Electronics,22822.5
Blender,2023-02-10,"Average product, does the job.",1,10,North,Kitchen,356.97
4K Action Camera,2024-02-29,Amazing performance and value.,5,44,South,Electronics,5025.36
Wireless Mouse,2021-03-17,"Great quality, very satisfied!",5,162,West,Accessories,3968.35
Laptop Stand,2021-07-17,Stopped working too soon.,3,97,West,Accessories,1686.57
Electric Kettle,2023-07-15,Stopped working too soon.,1,237,East,Kitchen,10984.2
Smartwatch,2024-03-13,Nothing special but acceptable.,4,259,North,Wearables,7400.79
Gaming Chair,2023-11-10,Bad experience overall.,1,288,East,Furniture,20185.58
4K Action Camera,2023-11-11,It's okay.,3,108,North,Electronics,11070.24
Smartwatch,2023-02-10,"Great quality, very satisfied!",1,74,East,Wearables,3843.89
4K Action Camera,2024-06-24,Amazing performance and value.,2,36,East,Electronics,2750.1
Electric Kettle,2024-07-06,Bad experience overall.,1,217,East,Kitchen,10293.07
Robot Vacuum,2022-08-09,Very disappointing.,5,269,West,Home Goods,9441.36
Coffee Maker,2023-01-09,Amazing performance and value.,4,108,West,Kitchen,2300.29
Laptop Stand,2021-11-29,Excellent product!,1,277,South,Accessories,3214.09
Smartwatch,2020-04-22,"Average product, does the job.",1,181,South,Wearables,9424.67
Smartwatch,2020-01-02,Very disappointing.,5,94,East,Wearables,3229.61
Gaming Chair,2021-10-03,Decent for the price.,3,145,North,Furniture,12110.48
Electric Kettle,2020-08-07,Stopped working too soon.,3,24,South,Kitchen,495.49
Smartwatch,2024-05-08,It's okay.,2,63,North,Wearables,2712.48
Electric Kettle,2022-05-04,Decent for the price.,5,15,East,Kitchen,374.17
Laptop Stand,2024-10-25,Very disappointing.,3,217,West,Accessories,3196.25
Smartwatch,2023-06-02,"Great quality, very satisfied!",3,110,North,Wearables,3915.36
Wireless Mouse,2021-01-19,Works fine.,5,220,West,Accessories,3557.5
Blender,2023-11-27,Amazing performance and value.,5,124,West,Kitchen,3563.28
Coffee Maker,2024-07-19,Works fine.,5,287,South,Kitchen,6598.91
Smartwatch,2023-02-27,Quality could be better.,2,144,West,Wearables,8548.74
Gaming Chair,2022-12-12,"Loved it, will buy again.",1,23,East,Furniture,2297.97
Robot Vacuum,2024-09-03,"Great quality, very satisfied!",4,17,North,Home Goods,1064.02
Electric Kettle,2021-12-30,Stopped working too soon.,1,251,East,Kitchen,11441.44
Coffee Maker,2024-08-22,Bad experience overall.,5,212,South,Kitchen,7854.37
Air Purifier,2024-09-29,Stopped working too soon.,4,241,West,Home Goods,8530.94
Smartwatch,2023-12-10,"Loved it, will buy again.",5,244,North,Wearables,14409.21
Air Purifier,2020-09-03,Quality could be better.,3,108,West,Home Goods,4749.96
Coffee Maker,2022-04-15,Not worth the price.,3,99,North,Kitchen,3735.26
4K Action Camera,2024-01-02,Decent for the price.,5,92,East,Electronics,7361.18
Electric Kettle,2020-07-21,"Average product, does the job.",1,194,South,Kitchen,5617.84
Coffee Maker,2023-04-22,It's okay.,3,131,North,Kitchen,4584.24
Wireless Mouse,2020-05-02,Highly recommend this!,4,213,West,Accessories,4465.93
Air Purifier,2021-02-04,Bad experience overall.,4,55,North,Home Goods,1741.38
Wireless Mouse,2022-02-05,Amazing performance and value.,5,159,East,Accessories,1590.34
Coffee Maker,2020-10-20,"Average product, does the job.",5,54,North,Kitchen,2183.98
Air Purifier,2020-10-06,Stopped working too soon.,1,101,West,Home Goods,4870.46
Electric Kettle,2022-06-02,Excellent product!,3,50,North,Kitchen,1956.69
Air Purifier,2024-06-21,Nothing special but acceptable.,2,20,West,Home Goods,1238.74
Gaming Chair,2020-07-16,Highly recommend this!,3,252,East,Furniture,19316.98
Air Purifier,2022-09-08,"Average product, does the job.",3,293,South,Home Goods,17476.0
Blender,2024-03-14,Not worth the price.,3,90,West,Kitchen,4262.92
4K Action Camera,2022-01-21,It's okay.,5,76,South,Electronics,7770.17
Electric Kettle,2020-05-23,Nothing special but acceptable.,5,215,South,Kitchen,9786.92
Smartwatch,2021-08-31,Amazing performance and value.,3,241,North,Wearables,13216.26
Robot Vacuum,2023-05-09,It's okay.,5,146,North,Home Goods,5505.0
Blender,2023-02-21,"Loved it, will buy again.",1,223,East,Kitchen,8628.91
Wireless Mouse,2020-07-05,Stopped working too soon.,4,157,East,Accessories,2166.83
Laptop Stand,2023-09-11,Stopped working too soon.,4,59,South,Accessories,1322.79
4K Action Camera,2021-04-08,"Great quality, very satisfied!",4,76,South,Electronics,4686.87
4K Action Camera,2023-10-04,Bad experience overall.,1,204,West,Electronics,16782.13
Gaming Chair,2024-11-29,"Average product, does the job.",3,103,South,Furniture,7320.59
Air Purifier,2021-10-21,Bad experience overall.,2,46,West,Home Goods,2661.77
Gaming Chair,2022-02-02,Bad experience overall.,5,69,West,Furniture,5824.06
Air Purifier,2022-08-12,Works fine.,2,95,East,Home Goods,5618.96
Coffee Maker,2021-02-06,It's okay.,3,273,East,Kitchen,10841.35
Wireless Mouse,2023-10-01,Amazing performance and value.,1,241,East,Accessories,5107.5
Air Purifier,2024-03-14,Amazing performance and value.,3,184,North,Home Goods,12064.47
Wireless Mouse,2020-05-26,It's okay.,3,295,North,Accessories,7124.14
Wireless Mouse,2023-03-17,"Great quality, very satisfied!",5,116,North,Accessories,2871.41
Laptop Stand,2022-05-13,Nothing special but acceptable.,1,82,West,Accessories,2303.01
Blender,2024-09-30,Works fine.,4,212,South,Kitchen,4760.53
Smartwatch,2021-05-03,Quality could be better.,4,296,East,Wearables,12015.97
Electric Kettle,2022-07-17,Not worth the price.,2,188,West,Kitchen,7151.47
Gaming Chair,2024-07-21,Quality could be better.,5,61,East,Furniture,3080.87
Coffee Maker,2021-07-04,Not worth the price.,1,126,North,Kitchen,5189.82
Laptop Stand,2020-12-03,Nothing special but acceptable.,1,72,North,Accessories,959.05
Electric Kettle,2022-05-21,Not worth the price.,4,224,South,Kitchen,7400.47
Laptop Stand,2021-10-02,Nothing special but acceptable.,4,230,North,Accessories,5547.23
Air Purifier,2024-12-07,Quality could be better.,1,153,South,Home Goods,7060.81
Robot Vacuum,2021-04-17,Excellent product!,5,168,East,Home Goods,6236.6
Electric Kettle,2020-05-30,Bad experience overall.,2,243,North,Kitchen,11248.59
Electric Kettle,2023-12-09,Amazing performance and value.,1,54,West,Kitchen,2255.94
Coffee Maker,2023-08-14,Works fine.,1,283,East,Kitchen,7967.66
Gaming Chair,2024-06-22,Very disappointing.,4,193,East,Furniture,9737.65
4K Action Camera,2020-09-19,Highly recommend this!,1,173,East,Electronics,17178.09
Laptop Stand,2024-11-22,Highly recommend this!,1,119,West,Accessories,2103.74
Laptop Stand,2020-05-23,Bad experience overall.,5,29,East,Accessories,629.49
Coffee Maker,2020-12-11,It's okay.,1,48,South,Kitchen,1303.82
Air Purifier,2021-09-15,"Average product, does the job.",1,161,North,Home Goods,10086.47
Air Purifier,2022-10-13,Not worth the price.,5,288,East,Home Goods,10601.13
Robot Vacuum,2024-05-14,Very disappointing.,4,170,South,Home Goods,5369.74
Gaming Chair,2022-05-30,"Average product, does the job.",5,80,West,Furniture,7921.84
Blender,2020-01-02,"Loved it, will buy again.",5,181,South,Kitchen,8176.72
Smartwatch,2022-06-15,Decent for the price.,2,180,North,Wearables,10580.22
Coffee Maker,2023-08-20,Bad experience overall.,4,269,South,Kitchen,7132.8
Electric Kettle,2020-09-10,Very disappointing.,4,61,East,Kitchen,1929.77
Smartwatch,2024-08-02,Bad experience overall.,1,130,North,Wearables,7396.68
Coffee Maker,2021-03-28,Nothing special but acceptable.,2,79,West,Kitchen,3502.9
Smartwatch,2022-11-26,Amazing performance and value.,5,83,South,Wearables,2647.49
Electric Kettle,2023-03-29,Stopped working too soon.,2,34,North,Kitchen,1511.36
Laptop Stand,2022-10-11,Not worth the price.,3,266,West,Accessories,6532.88
Coffee Maker,2020-01-09,It's okay.,3,91,West,Kitchen,4190.02
Blender,2023-06-10,Not worth the price.,5,226,West,Kitchen,7751.69
